pH,Hardness,Solids,Chlorine,Sulfate,Lead,Mercury,Coliform,Quality
5.24,190.0,201.6,4.608,696.8,0.00284,0.0012,643,Kém
7.55,217.2,928.6,0.98,105.2,0.01117,0.00224,10,Trung bình
7.54,705.5,259.7,4.515,75.7,0.01948,0.00031,404,Kém
6.96,217.4,187.8,1.102,287.1,0.01245,0.00283,2,Trung bình
7.65,552.8,2108.1,3.845,1063.0,0.00208,0.00105,24,Nguy hiểm
8.08,180.5,422.3,1.732,121.5,0.00515,0.00094,24,Tốt
8.85,108.0,337.8,1.77,185.1,0.00095,0.00076,3157,Nguy hiểm
6.73,128.5,132.9,0.775,194.2,0.00012,0.00091,18,Tốt
7.22,129.9,91.7,4.457,752.8,0.02892,0.00842,7,Kém
6.94,143.0,134.4,1.268,138.2,0.00512,7e-05,9,Tốt
8.98,97.4,1014.3,0.79,210.5,0.00554,0.0005,101,Trung bình
8.69,321.7,137.7,1.38,269.5,0.00591,0.00105,5,Trung bình
7.84,382.1,323.5,3.311,181.5,0.01142,0.00084,8,Trung bình
8.97,179.4,334.7,3.829,41.4,0.01289,7e-05,13,Trung bình
10.0,85.4,130.9,0.088,781.5,0.00434,0.0001,849,Kém
7.19,170.6,1717.7,1.874,372.7,0.02206,0.0013,614,Kém
7.72,115.0,191.8,0.65,129.1,0.00065,0.00144,3,Tốt
7.41,139.7,711.0,1.441,127.9,0.01312,0.00014,142,Trung bình
7.89,349.6,370.1,0.83,358.3,0.00163,0.00068,16,Trung bình
7.78,115.2,714.7,0.802,123.5,0.01118,0.00114,0,Trung bình
5.19,116.1,137.3,0.711,790.4,0.00552,0.0081,24,Kém
7.76,94.9,307.7,0.443,151.3,0.007,8e-05,5,Tốt
7.77,149.7,450.7,1.141,118.4,0.00265,0.00075,18,Tốt
4.34,152.1,476.5,0.546,1084.5,0.00358,0.03839,2296,Nguy hiểm
8.91,174.9,96.1,4.542,58.8,0.1435,0.0,20,Nguy hiểm
9.67,173.6,2082.1,1.087,820.3,0.00181,0.00083,703,Kém
9.78,546.7,459.3,1.514,524.8,0.00027,0.00827,66,Kém
7.02,207.0,104.6,1.396,104.7,0.00606,0.00109,13,Tốt
7.95,204.0,1868.2,4.281,788.3,0.03924,0.0007,9,Kém
